id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
1,2008,Wankhede,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,70,0,RG Sharma
2,2008,Wankhede,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,72,0,KL Rahul
3,2008,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,55,0,MS Dhoni
4,2008,Eden,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,46,0,HH Pandya
5,2008,Wankhede,Wankhede Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,0,2,PP Chawla
6,2008,Eden,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0,2,G Gambhir
7,2008,Punjab,Punjab Cricket Association Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Delhi Capitals,0,4,A Mishra
8,2008,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,SP Narine
9,2008,Wankhede,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,0,5,PP Chawla
10,2008,Eden,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,0,3,KL Rahul
11,2008,BRSABV,BRSABV Ekana Cricket Stadium,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,bat,Lucknow Super Giants,0,7,MS Dhoni
12,2008,Narendra,Narendra Modi Stadium,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Punjab Kings,20,0,A Mishra
13,2008,Sawai,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,0,9,JJ Bumrah
14,2008,Narendra,Narendra Modi Stadium,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,0,2,SK Raina
15,2008,Wankhede,Wankhede Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,65,0,SP Narine
16,2008,Narendra,Narendra Modi Stadium,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Kolkata Knight Riders,70,0,SL Malinga
17,2008,MA,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,0,4,M Shami
18,2008,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,bat,Chennai Super Kings,69,0,JJ Bumrah
19,2008,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Gujarat Titans,Punjab Kings,field,Punjab Kings,0,4,G Gambhir
20,2008,Punjab,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,Sunrisers Hyderabad,9,0,PP Chawla
21,2008,Narendra,Narendra Modi Stadium,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Gujarat Titans,30,0,Rashid Khan
22,2008,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,4,KL Rahul
23,2008,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,0,6,KA Pollard
24,2008,Wankhede,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,0,2,CH Gayle
25,2008,Narendra,Narendra Modi Stadium,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,Punjab Kings,0,8,KA Pollard
26,2008,Narendra,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Gujarat Titans,bat,Chennai Super Kings,12,0,S Dhawan
27,2008,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,bat,Lucknow Super Giants,22,0,G Gambhir
28,2008,Punjab,Punjab Cricket Association Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0,3,CH Gayle
29,2008,Wankhede,Wankhede Stadium,Mumbai Indians,Gujarat Titans,Gujarat Titans,bat,Mumbai Indians,7,0,RG Sharma
30,2008,Narendra,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,Gujarat Titans,31,0,M Shami
31,2008,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,9,CH Gayle
32,2008,Eden,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,0,8,V Kohli
33,2008,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,3,M Shami
34,2008,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,0,9,JJ Bumrah
35,2008,M,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,71,0,RR Pant
36,2008,Eden,Eden Gardens,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,0,9,M Shami
37,2008,MA,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,1,0,YS Chahal
38,2008,M,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Royal Challengers Bangalore,0,9,DA Warner
39,2008,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,Gujarat Titans,56,0,RR Pant
40,2008,Wankhede,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,14,0,A Mishra
41,2008,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,53,0,R Ashwin
42,2008,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,49,0,KL Rahul
43,2008,Punjab,Punjab Cricket Association Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,29,0,G Gambhir
44,2008,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,6,V Kohli
45,2008,MA,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Delhi Capitals,0,1,AM Rahane
46,2008,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,33,0,V Kohli
47,2008,Narendra,Narendra Modi Stadium,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,bat,Gujarat Titans,43,0,R Ashwin
48,2008,Narendra,Narendra Modi Stadium,Delhi Capitals,Gujarat Titans,Gujarat Titans,bat,Delhi Capitals,0,7,CH Gayle
49,2008,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,Rajasthan Royals,0,7,RR Pant
50,2008,Sawai,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,0,4,JJ Bumrah
51,2008,Arun,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,40,0,MS Dhoni
52,2008,Wankhede,Wankhede Stadium,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,bat,Lucknow Super Giants,59,0,B Kumar
53,2008,Punjab,Punjab Cricket Association Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,14,0,SK Raina
54,2008,Narendra,Narendra Modi Stadium,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Punjab Kings,59,0,JJ Bumrah
55,2008,BRSABV,BRSABV Ekana Cricket Stadium,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,0,9,M Shami
56,2008,Punjab,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Royal Challengers Bangalore,36,0,SR Watson
57,2008,MA,MA Chidambaram Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,0,6,MS Dhoni
